,feature,importance
0,mer8,0.6098818627372967
1,mer7,0.21773158628166128
2,mer6,0.07344158704724296
3,cpg,0.012428933104289202
4,gcs,0.00987638333110917
5,gc,0.008568883769901616
6,cm2,0.008534696705219355
7,cwf,0.008045309137381192
8,ce,0.00793994759587356
9,cm1,0.007662528147040018
10,ct5,0.003985103634454487
11,ct4,0.003948809479401866
12,ct6,0.003901861908940691
13,ct3,0.0036844988382591245
14,cl6,0.0031132323351623315
15,cm3,0.0030505544710603145
16,cl3,0.0029817095200767928
17,cl5,0.0029424690520561832
18,cl4,0.0026267837382998815
19,ct2,0.0020849828451440363
20,cl2,0.001661405197836795
21,cm4,0.0010939987655204488
22,cm5,0.00047449132039779034
23,ct1,0.00012891137078898992
24,cl1,0.00011334080528376412
25,cm6,9.612886030138105e-05
